time_s,event_type,score,s_bar,level,from_behavior,to_behavior
0.0,score,0.0,,,,
0.0,decision,,0.0,Comfort,,
10.0,score,0.0,,,,
20.0,score,3.0,,,,
20.0,decision,,1.3453,Mild,,
20.0,switch,,1.3453,Mild,aggressive,normal
30.0,score,4.0,,,,
40.0,score,3.0,,,,
40.0,decision,,2.5884,Bad,,
50.0,score,3.0,,,,
60.0,score,3.0,,,,
60.0,decision,,2.9348,Bad,,
60.0,switch,,2.9348,Bad,normal,cautious
70.0,score,0.0,,,,
80.0,score,3.0,,,,
80.0,decision,,2.3572,Bad,,
90.0,score,0.0,,,,
100.0,score,3.0,,,,
100.0,decision,,1.9335,Bad,,
110.0,score,0.0,,,,
120.0,score,0.0,,,,
120.0,decision,,0.7642,Mild,,
130.0,score,3.0,,,,
140.0,score,0.0,,,,
140.0,decision,,0.964,Mild,,
150.0,score,3.0,,,,
160.0,score,1.0,,,,
160.0,decision,,1.3944,Mild,,
170.0,score,4.0,,,,
180.0,score,4.0,,,,
180.0,decision,,2.9669,Bad,,
190.0,score,0.0,,,,
200.0,score,4.0,,,,
200.0,decision,,2.7392,Bad,,
210.0,score,3.0,,,,
220.0,score,1.0,,,,
220.0,decision,,2.2992,Bad,,
230.0,score,3.0,,,,
240.0,score,3.0,,,,
240.0,decision,,2.564,Bad,,
250.0,score,3.0,,,,
260.0,score,3.0,,,,
260.0,decision,,2.8272,Bad,,
270.0,score,3.0,,,,
280.0,score,1.0,,,,
280.0,decision,,2.3443,Bad,,
290.0,score,3.0,,,,
300.0,score,0.0,,,,
300.0,decision,,1.6799,Bad,,
310.0,score,3.0,,,,
320.0,score,0.0,,,,
320.0,decision,,1.3387,Mild,,
330.0,score,0.0,,,,
340.0,score,4.0,,,,
340.0,decision,,1.8589,Bad,,
350.0,score,0.0,,,,
360.0,score,0.0,,,,
360.0,decision,,0.859,Mild,,
370.0,score,0.0,,,,
380.0,score,3.0,,,,
380.0,decision,,1.3292,Mild,,
390.0,score,3.0,,,,
400.0,score,3.0,,,,
400.0,decision,,2.1932,Bad,,
410.0,score,3.0,,,,
420.0,score,3.0,,,,
420.0,decision,,2.8142,Bad,,
430.0,score,3.0,,,,
440.0,score,3.0,,,,
440.0,decision,,3.0,Bad,,
450.0,score,3.0,,,,
460.0,score,3.0,,,,
460.0,decision,,3.0,Bad,,
470.0,score,3.0,,,,
480.0,score,3.0,,,,
480.0,decision,,3.0,Bad,,
490.0,score,3.0,,,,
