time_s,event_type,score,after_score,s_bar,level,from_behavior,to_behavior
0,score,0,0,,,,
0,decision,,,0,Comfort,,
10,score,0,0,,,,
20,score,3,4,,,,
20,decision,,,1.3453,Mild,,
20,switch,,,1.3453,Mild,aggressive,normal
30,score,4,4,,,,
40,score,3,3,,,,
40,decision,,,2.5884,Bad,,
50,score,3,2,,,,
60,score,3,2,,,,
60,decision,,,2.9348,Bad,,
60,switch,,,2.9348,Bad,normal,cautious
70,score,0,1,,,,
80,score,3,3,,,,
80,decision,,,2.3572,Bad,,
90,score,0,1,,,,
100,score,3,2,,,,
100,decision,,,1.9335,Bad,,
110,score,0,0,,,,
120,score,0,0,,,,
120,decision,,,0.7642,Mild,,
130,score,3,2,,,,
140,score,0,1,,,,
140,decision,,,0.964,Mild,,
150,score,3,2,,,,
160,score,1,2,,,,
160,decision,,,1.3944,Mild,,
170,score,4,3,,,,
180,score,4,2,,,,
180,decision,,,2.9669,Bad,,
190,score,0,1,,,,
200,score,4,3,,,,
200,decision,,,2.7392,Bad,,
210,score,3,2,,,,
220,score,1,0,,,,
220,decision,,,2.2992,Bad,,
230,score,3,2,,,,
240,score,3,2,,,,
240,decision,,,2.564,Bad,,
250,score,3,2,,,,
260,score,3,2,,,,
260,decision,,,2.8272,Bad,,
270,score,3,1,,,,
280,score,1,1,,,,
280,decision,,,2.3443,Bad,,
290,score,3,2,,,,
300,score,0,1,,,,
300,decision,,,1.6799,Bad,,
310,score,3,1,,,,
320,score,0,0,,,,
320,decision,,,1.3387,Mild,,
330,score,0,0,,,,
340,score,4,3,,,,
340,decision,,,1.8589,Bad,,
350,score,0,0,,,,
360,score,0,0,,,,
360,decision,,,0.859,Mild,,
370,score,0,0,,,,
380,score,3,2,,,,
380,decision,,,1.3292,Mild,,
390,score,3,2,,,,
400,score,3,1,,,,
400,decision,,,2.1932,Bad,,
410,score,3,3,,,,
420,score,3,2,,,,
420,decision,,,2.8142,Bad,,
430,score,3,2,,,,
440,score,3,2,,,,
440,decision,,,3,Bad,,
450,score,3,3,,,,
460,score,3,2,,,,
460,decision,,,3,Bad,,
470,score,3,2,,,,
480,score,3,3,,,,
480,decision,,,3,Bad,,
490,score,3,1,,,,
