序号,3、您的性别：,4、您的年龄段：,童年总分,童年有效题数,成年总分,成年有效题数,MSSQ_S_总分
7,1,2,0,4,0,2,0
10,1,1,0,8,0,8,0
16,2,2,0,7,0,7,0
33,2,2,0,6,0,6,0
48,1,2,0,9,0,9,0
6,1,2,1,5,0,6,1.8
9,1,2,1,9,1,9,2
19,2,2,0,9,2,9,2
21,2,2,0,9,2,9,2
13,1,1,2,9,1,9,3
1,1,2,2,9,2,9,4
15,2,2,2,9,2,9,4
31,2,2,0,9,4,9,4
8,1,2,2,8,2,8,4.5
45,1,2,3,8,1,8,4.5
22,2,2,0,9,5,9,5
25,1,2,2,7,3,8,5.95
23,1,2,3,9,3,9,6
32,1,2,3,9,3,9,6
28,2,2,3,7,2,7,6.43
4,1,2,1,4,4,8,6.75
17,2,2,5,9,2,9,7
41,2,2,4,9,3,9,7
27,2,2,5,9,4,9,9
5,1,2,3,9,7,9,10
14,2,2,5,6,3,8,10.88
37,2,2,4,6,4,6,12
49,2,2,6,6,3,7,12.86
43,1,2,5,9,9,9,14
18,2,2,8,9,7,9,15
35,1,2,2,2,2,3,15
46,2,2,2,3,2,2,15
47,1,1,15,9,0,6,15
30,2,2,8,8,7,9,16
11,1,1,4,7,5,4,16.39
26,2,2,16,8,2,9,20
38,2,2,13,9,9,9,22
39,2,2,11,9,11,9,22
44,2,2,12,9,10,9,22
40,2,1,9,6,5,5,22.5
36,1,2,8,9,18,9,26
20,2,2,14,9,13,9,27
24,2,2,4,3,5,3,27
42,1,1,14,9,14,9,28
12,1,2,14,9,15,9,29
3,1,2,4,2,5,4,29.25
34,1,2,15,9,18,9,33
2,1,2,18,9,18,9,36
29,2,2,20,8,13,8,37.12
